frame,particles,delta,physMem,virtMem
1,2,0.982781,62332928,52211712
2,3,0.0047358,62685184,52228096
3,5,0.0030745,62685184,52228096
4,22,0.016775,62685184,52228096
5,22,0.0166181,62689280,52228096
6,24,0.0167668,62689280,52228096
7,25,0.0165521,62689280,52228096
8,25,0.0167003,62689280,52228096
9,27,0.016675,62689280,52228096
10,27,0.0166534,62689280,52228096
11,29,0.0168711,62689280,52228096
12,29,0.0166305,62689280,52228096
13,31,0.0167276,62689280,52228096
14,31,0.0165238,62689280,52228096
15,36,0.0166245,62689280,52228096
16,41,0.0166882,62689280,52228096
17,45,0.0167043,62689280,52228096
18,45,0.016631,62689280,52228096
19,46,0.0166227,62689280,52228096
20,46,0.0168721,62689280,52228096
21,49,0.0166724,62689280,52228096
22,53,0.0165517,62689280,52228096
23,53,0.0166257,62689280,52228096
24,54,0.0166732,62689280,52228096
25,57,0.0166552,62689280,52228096
26,57,0.0167214,62689280,52228096
27,57,0.0165752,62689280,52228096
28,60,0.0166952,62689280,52228096
29,65,0.0165886,62689280,52228096
30,74,0.0167344,62689280,52228096
31,76,0.016634,62689280,52228096
32,78,0.0167687,62689280,52228096
33,79,0.0165399,62689280,52228096
34,81,0.0167013,62689280,52228096
35,85,0.0167255,62689280,52228096
36,87,0.0165745,62689280,52228096
37,87,0.016909,62689280,52228096
38,87,0.0164871,62689280,52228096
39,87,0.0166764,62689280,52228096
40,87,0.0166087,62689280,52228096
41,90,0.0167465,62689280,52228096
42,91,0.0166467,62689280,52228096
43,103,0.0166915,62689280,52228096
44,103,0.0167454,62689280,52228096
45,113,0.016551,62689280,52228096
46,115,0.0166126,62689280,52228096
47,125,0.0167282,62689280,52228096
48,125,0.0166289,62689280,52228096
49,125,0.0168303,62689280,52228096
50,129,0.0164828,62689280,52228096
51,137,0.0166952,62701568,52240384
52,137,0.0166653,62701568,52240384
53,137,0.0166233,62701568,52240384
54,139,0.0167298,62701568,52240384
55,141,0.01671,62701568,52240384
56,143,0.0166211,62709760,52252672
57,143,0.0166157,62709760,52252672
58,148,0.0167497,62709760,52252672
59,148,0.0165845,62709760,52252672
60,151,0.0167139,62709760,52252672
61,153,0.0166336,62709760,52252672
62,154,0.0166959,62709760,52252672
63,156,0.0166507,62709760,52252672
64,156,0.0166754,62709760,52252672
65,165,0.0167294,62709760,52252672
66,166,0.0166108,62709760,52252672
67,166,0.0167164,62709760,52252672
68,167,0.0165732,62709760,52252672
69,167,0.0167097,62709760,52252672
70,173,0.0166496,62709760,52252672
71,179,0.0168793,62709760,52252672
72,179,0.0166226,62709760,52252672
73,186,0.0165344,62709760,52252672
74,187,0.0166373,62709760,52252672
75,190,0.0166358,62709760,52252672
76,190,0.0167998,62709760,52252672
77,190,0.0165604,62709760,52252672
78,190,0.0166878,62709760,52252672
79,192,0.0166072,62709760,52252672
80,193,0.0166744,62709760,52252672
81,193,0.0166913,62709760,52252672
82,194,0.0166403,62709760,52252672
83,195,0.0167664,62709760,52252672
84,198,0.0166386,62713856,52252672
85,198,0.0166371,62713856,52252672
86,200,0.0168445,62713856,52252672
87,200,0.0164532,62713856,52252672
88,202,0.0167537,62713856,52252672
89,203,0.0166948,62713856,52252672
90,209,0.0165613,62713856,52252672
91,216,0.016706,62730240,52269056
92,218,0.0166424,62730240,52269056
93,219,0.016638,62730240,52269056
94,224,0.0168633,62730240,52269056
95,230,0.0166693,62730240,52269056
96,232,0.0164752,62730240,52269056
97,234,0.0168736,62730240,52269056
98,234,0.0166164,62734336,52269056
99,243,0.0165513,62734336,52269056
100,244,0.0169188,62734336,52269056
101,244,0.0164566,62734336,52269056
102,248,0.0166618,62734336,52269056
103,251,0.0166586,62734336,52269056
104,257,0.0165942,62734336,52269056
105,262,0.0166983,62734336,52269056
106,262,0.0167274,62734336,52269056
107,263,0.0165961,62734336,52269056
108,264,0.0166917,62734336,52269056
109,267,0.0166338,62734336,52269056
110,269,0.0166892,62734336,52269056
111,269,0.0166928,62734336,52269056
112,269,0.0166595,62734336,52269056
113,269,0.0167784,62734336,52269056
114,270,0.0167409,62734336,52269056
115,273,0.0178101,62734336,52269056
116,273,0.0153937,62734336,52269056
117,273,0.0166131,62734336,52269056
118,273,0.0166333,62734336,52269056
119,273,0.0167562,62734336,52269056
120,273,0.0165542,62734336,52269056
121,274,0.0167825,62734336,52269056
122,274,0.0166669,62734336,52269056
123,274,0.0166192,62734336,52269056
124,275,0.0166186,62734336,52269056
125,276,0.0167898,62734336,52269056
126,279,0.0165844,62734336,52269056
127,279,0.0166565,62734336,52269056
128,283,0.0167369,62734336,52269056
129,286,0.0166375,62734336,52269056
130,287,0.0166073,62734336,52269056
131,297,0.0167647,62734336,52269056
132,297,0.0167335,62734336,52269056
133,305,0.0165912,62734336,52269056
134,306,0.0165768,62734336,52269056
135,306,0.0167452,62734336,52269056
136,310,0.0166726,62734336,52264960
137,312,0.0166757,62734336,52264960
138,312,0.0166043,62734336,52264960
139,314,0.0167397,62734336,52264960
140,316,0.0166435,62734336,52264960
141,318,0.0165984,62754816,52285440
142,325,0.0166797,62754816,52285440
143,325,0.0168781,62754816,52285440
144,328,0.0164299,62754816,52285440
145,329,0.0168992,62754816,52285440
146,331,0.020186,62754816,52285440
147,331,0.0129343,62754816,52285440
148,334,0.0166339,62754816,52285440
149,334,0.0167258,62754816,52285440
150,340,0.0166403,62754816,52285440
151,348,0.0167458,62754816,52285440
152,352,0.0165838,62754816,52285440
153,353,0.0166784,62754816,52285440
154,357,0.0167124,62754816,52285440
155,360,0.016699,62754816,52285440
156,364,0.0165883,62754816,52285440
157,366,0.0166237,62754816,52285440
158,367,0.0167285,62754816,52285440
159,371,0.0166246,62754816,52285440
160,377,0.0167473,62754816,52285440
161,377,0.016598,62754816,52285440
162,379,0.0166824,62754816,52285440
163,382,0.0166937,62754816,52285440
