frame,particles,delta,physMem,virtMem
1,2,0.836918,63164416,51048448
2,3,0.0061181,65298432,52850688
3,5,0.0167673,65298432,52850688
4,22,0.0167547,65302528,52850688
5,22,0.0167768,65302528,52850688
6,24,0.0167752,65302528,52850688
7,25,0.0167987,65302528,52850688
8,25,0.0167738,65302528,52850688
9,27,0.0167499,65302528,52850688
10,27,0.0168979,65302528,52850688
11,29,0.0168031,65302528,52850688
12,29,0.0167673,65302528,52850688
13,31,0.0167921,65302528,52850688
14,31,0.0167864,65302528,52850688
15,36,0.0167945,65302528,52850688
16,41,0.0167511,65302528,52850688
17,45,0.0167949,65302528,52850688
18,45,0.0166892,65302528,52850688
19,46,0.0167809,65302528,52850688
20,46,0.0167542,65302528,52850688
21,49,0.0166993,65302528,52850688
22,53,0.0167733,65302528,52850688
23,53,0.0167502,65302528,52850688
24,54,0.0167965,65302528,52850688
25,57,0.0167994,65302528,52850688
26,57,0.0168756,65302528,52850688
27,57,0.0167876,65302528,52850688
28,60,0.0167927,65302528,52850688
29,65,0.0168505,65302528,52850688
30,74,0.0168769,65302528,52850688
31,76,0.0168562,65302528,52850688
32,78,0.0167702,65302528,52850688
33,79,0.0168858,65302528,52850688
34,81,0.0168525,65302528,52850688
35,85,0.0167739,65302528,52850688
36,87,0.0168716,65302528,52850688
37,87,0.016786,65302528,52850688
38,87,0.0167844,65302528,52850688
39,87,0.0168294,65302528,52850688
40,87,0.0168695,65302528,52850688
41,90,0.0168643,65302528,52850688
42,91,0.0168493,65302528,52850688
43,103,0.016852,65302528,52850688
44,103,0.0168815,65302528,52850688
45,113,0.0167158,65302528,52850688
46,115,0.0168317,65302528,52850688
47,125,0.0168277,65302528,52850688
48,125,0.0174259,65302528,52850688
49,125,0.016793,65302528,52850688
50,129,0.016942,65302528,52850688
51,137,0.0167065,65302528,52850688
52,137,0.0167854,65302528,52850688
53,137,0.0168764,65302528,52850688
54,139,0.0167191,65302528,52850688
55,141,0.0168416,65302528,52850688
56,143,0.0167554,65302528,52850688
57,143,0.0168569,65302528,52850688
58,148,0.016859,65302528,52850688
59,148,0.0168664,65302528,52850688
60,151,0.0167905,65302528,52850688
61,153,0.0168362,65302528,52850688
62,154,0.0167999,65302528,52850688
63,156,0.0167745,65302528,52850688
64,156,0.0167622,65302528,52850688
65,165,0.0168769,65302528,52850688
66,166,0.0168242,65302528,52850688
67,166,0.0168085,65302528,52850688
68,167,0.0167877,65302528,52850688
69,167,0.0168612,65302528,52850688
70,173,0.0168718,65302528,52850688
71,179,0.0167804,65302528,52850688
72,179,0.0168596,65302528,52850688
73,186,0.0167856,65302528,52850688
74,187,0.0168606,65302528,52850688
75,190,0.0169038,65302528,52850688
76,190,0.016744,65302528,52850688
77,190,0.0168116,65302528,52850688
78,190,0.0168616,65302528,52850688
79,192,0.0167749,65302528,52850688
80,193,0.0167897,65302528,52850688
81,193,0.0167883,65302528,52850688
82,194,0.0168575,65302528,52850688
83,195,0.0168324,65302528,52850688
84,198,0.0168189,65302528,52850688
85,198,0.0168743,65302528,52850688
86,200,0.0168468,65302528,52850688
87,200,0.0168662,65302528,52850688
88,202,0.016772,65302528,52850688
89,203,0.016755,65302528,52850688
90,209,0.0168818,65302528,52850688
91,216,0.0182147,65302528,52850688
92,218,0.0167709,65302528,52850688
93,219,0.0168516,65302528,52850688
94,224,0.0168306,65302528,52850688
95,230,0.0167389,65302528,52850688
96,232,0.016889,65302528,52850688
97,234,0.0167676,65302528,52850688
98,234,0.0168981,65302528,52850688
99,243,0.0167356,65302528,52850688
100,244,0.0168024,65302528,52850688
101,244,0.0168353,65302528,52850688
102,248,0.0168505,65302528,52850688
103,251,0.0167434,65302528,52850688
104,257,0.0168801,65302528,52850688
105,262,0.0169388,65302528,52850688
106,262,0.0167836,65302528,52850688
107,263,0.0167871,65302528,52850688
108,264,0.0167876,65302528,52850688
109,267,0.0167922,65302528,52850688
110,269,0.0168268,65302528,52850688
111,269,0.0170006,65302528,52850688
112,269,0.0166659,65302528,52850688
113,269,0.0169123,65302528,52850688
114,270,0.016675,65302528,52850688
115,273,0.0167121,65302528,52850688
116,273,0.0167375,65302528,52850688
117,273,0.0167821,65302528,52850688
118,273,0.0167788,65302528,52850688
119,273,0.0168554,65302528,52850688
120,273,0.0167798,65302528,52850688
121,274,0.0169084,65302528,52850688
122,274,0.0167821,65302528,52850688
123,274,0.0168152,65302528,52850688
124,275,0.0167513,65302528,52850688
125,276,0.0168489,65302528,52850688
126,279,0.0167626,65302528,52850688
127,279,0.0167826,65302528,52850688
128,283,0.0170276,65302528,52850688
129,286,0.0166498,65302528,52850688
130,287,0.0167599,65302528,52850688
131,297,0.0167739,65302528,52850688
132,297,0.0169495,65302528,52850688
133,305,0.0167894,65302528,52850688
134,306,0.0168804,65302528,52850688
135,306,0.0167683,65302528,52850688
136,310,0.0168235,65302528,52850688
137,312,0.0167885,65302528,52846592
138,312,0.0167873,65302528,52846592
139,314,0.0210581,65302528,52846592
140,316,0.0168492,65302528,52846592
141,318,0.0167939,65323008,52867072
142,325,0.016861,65323008,52867072
143,325,0.0214436,65323008,52867072
144,328,0.016815,65323008,52867072
