frame,particles,delta,physMem,virtMem
1,2,1.00337,62341120,52215808
2,3,0.0044838,62709760,52248576
3,5,0.0095923,62709760,52248576
4,22,0.0166713,62713856,52248576
5,22,0.0167192,62713856,52248576
6,24,0.0165866,62713856,52248576
7,25,0.0166919,62713856,52248576
8,25,0.0167377,62713856,52248576
9,27,0.0166372,62713856,52248576
10,27,0.0166225,62713856,52248576
11,29,0.0193612,62713856,52248576
12,29,0.0143294,62713856,52248576
13,31,0.0163693,62713856,52248576
14,31,0.0166525,62713856,52248576
15,36,0.0166002,62713856,52248576
16,41,0.0166608,62713856,52248576
17,45,0.0166851,62713856,52248576
18,45,0.0166369,62717952,52248576
19,46,0.0166953,62717952,52248576
20,46,0.0167077,62717952,52248576
21,49,0.0168536,62717952,52248576
22,53,0.0166384,62717952,52248576
23,53,0.0167079,62717952,52248576
24,54,0.0164298,62717952,52248576
25,57,0.0167026,62717952,52248576
26,57,0.0167194,62717952,52248576
27,57,0.0166132,62717952,52248576
28,60,0.0167087,62717952,52248576
29,65,0.0166844,62717952,52248576
30,74,0.016647,62717952,52248576
31,76,0.0166035,62717952,52248576
32,78,0.016675,62717952,52248576
33,79,0.0169073,62717952,52248576
34,81,0.0166078,62717952,52248576
35,85,0.0166917,62717952,52248576
36,87,0.0164837,62717952,52248576
37,87,0.0166691,62717952,52248576
38,87,0.0167674,62717952,52248576
39,87,0.0165671,62717952,52248576
40,87,0.0166521,62717952,52248576
41,90,0.0166688,62717952,52248576
42,91,0.0168204,62717952,52248576
43,103,0.0166968,62717952,52248576
44,103,0.0165633,62717952,52248576
45,113,0.016552,62717952,52248576
46,115,0.0166988,62717952,52248576
47,125,0.0167474,62717952,52248576
48,125,0.016839,62717952,52248576
49,125,0.0166533,62717952,52248576
50,129,0.0165323,62717952,52248576
51,137,0.0165946,62717952,52248576
52,137,0.0166474,62717952,52248576
53,137,0.0166743,62717952,52248576
54,139,0.0166549,62717952,52248576
55,141,0.0166283,62717952,52248576
56,143,0.0166877,62717952,52248576
57,143,0.016686,62717952,52248576
58,148,0.0166754,62717952,52248576
59,148,0.0166615,62717952,52248576
60,151,0.0166364,62717952,52248576
61,153,0.0166729,62717952,52248576
62,154,0.0166973,62717952,52248576
63,156,0.0166446,62717952,52248576
64,156,0.0166852,62717952,52248576
65,165,0.0166966,62717952,52248576
66,166,0.0166459,62717952,52248576
67,166,0.0166367,62717952,52248576
68,167,0.0167254,62717952,52248576
69,167,0.0165999,62717952,52248576
70,173,0.016701,62717952,52248576
71,179,0.016646,62717952,52248576
72,179,0.016706,62717952,52248576
73,186,0.01662,62717952,52248576
74,187,0.0167393,62717952,52248576
75,190,0.0166041,62717952,52248576
76,190,0.0166603,62717952,52248576
77,190,0.0166989,62717952,52248576
78,190,0.0166512,62717952,52248576
79,192,0.0166516,62717952,52248576
80,193,0.0166779,62717952,52248576
81,193,0.0166954,62717952,52248576
82,194,0.0166278,62717952,52248576
83,195,0.0167072,62717952,52248576
84,198,0.0166258,62717952,52248576
85,198,0.0166886,62717952,52248576
86,200,0.0166597,62717952,52248576
87,200,0.0166656,62717952,52248576
88,202,0.0166808,62717952,52248576
89,203,0.0166538,62717952,52248576
90,209,0.0166796,62717952,52248576
91,216,0.0166381,62717952,52248576
92,218,0.016671,62717952,52248576
93,219,0.0180148,62717952,52248576
94,224,0.0152947,62717952,52248576
95,230,0.0167515,62717952,52248576
96,232,0.016633,62717952,52248576
97,234,0.0166384,62717952,52248576
98,234,0.0166221,62717952,52248576
99,243,0.0167194,62717952,52248576
100,244,0.0166683,62717952,52248576
101,244,0.0167447,62717952,52248576
102,248,0.0166531,62717952,52248576
103,251,0.0165659,62717952,52248576
104,257,0.0167212,62717952,52248576
105,262,0.0166236,62717952,52248576
106,262,0.0167011,62717952,52248576
107,263,0.0166823,62717952,52248576
108,264,0.0167487,62717952,52248576
109,267,0.0166358,62717952,52248576
110,269,0.0166649,62717952,52248576
111,269,0.0165811,62717952,52248576
112,269,0.0166911,62717952,52248576
113,269,0.0166918,62717952,52248576
114,270,0.016725,62717952,52248576
115,273,0.0166592,62717952,52248576
116,273,0.0166748,62717952,52248576
117,273,0.016651,62717952,52248576
118,273,0.0165915,62717952,52248576
119,273,0.0166954,62717952,52248576
120,273,0.0166911,62717952,52248576
121,274,0.0166188,62717952,52248576
122,274,0.0166813,62717952,52248576
123,274,0.0168447,62717952,52248576
124,275,0.0197074,62717952,52248576
125,276,0.0135321,62717952,52248576
126,279,0.0166324,62717952,52248576
127,279,0.0166658,62717952,52248576
128,283,0.0166297,62717952,52248576
129,286,0.0166927,62717952,52248576
130,287,0.0166585,62717952,52248576
131,297,0.0167013,62717952,52248576
132,297,0.0165668,62717952,52248576
133,305,0.0167655,62717952,52248576
134,306,0.0166799,62717952,52244480
135,306,0.0165757,62717952,52244480
136,310,0.0166958,62726144,52256768
137,312,0.016765,62726144,52256768
138,312,0.0165678,62726144,52256768
139,314,0.0167292,62726144,52256768
140,316,0.0166636,62726144,52256768
141,318,0.0165665,62742528,52277248
142,325,0.0166628,62742528,52277248
143,325,0.0166703,62742528,52277248
144,328,0.0167526,62742528,52277248
145,329,0.0165908,62742528,52277248
146,331,0.0167034,62742528,52277248
147,331,0.0167164,62742528,52277248
148,334,0.016687,62742528,52277248
149,334,0.0166217,62742528,52277248
150,340,0.0167109,62742528,52277248
151,348,0.016659,62742528,52277248
152,352,0.0166494,62742528,52277248
153,353,0.0166613,62742528,52277248
154,357,0.0166801,62742528,52277248
155,360,0.0166857,62742528,52277248
156,364,0.016554,62742528,52277248
157,366,0.0166795,62742528,52277248
158,367,0.016685,62742528,52277248
159,371,0.0167185,62742528,52277248
160,377,0.0166028,62750720,52277248
161,377,0.016792,62750720,52277248
162,379,0.0165933,62750720,52277248
163,382,0.0166811,62750720,52277248
164,382,0.0167005,62750720,52277248
165,384,0.0165682,62750720,52277248
166,385,0.0167254,62750720,52277248
167,387,0.0167076,62750720,52277248
168,387,0.0166575,62750720,52277248
169,395,0.0165566,62750720,52277248
170,397,0.0167907,62750720,52277248
171,399,0.0167161,62750720,52277248
172,400,0.0164891,62750720,52277248
173,403,0.0168075,62750720,52277248
174,403,0.0166182,62750720,52277248
175,405,0.0166663,62750720,52277248
176,413,0.0166059,62750720,52277248
177,415,0.016734,62750720,52277248
178,417,0.0166754,62750720,52277248
179,421,0.0166817,62750720,52277248
180,423,0.0166446,62750720,52277248
181,425,0.016685,62750720,52277248
182,425,0.0165554,62750720,52277248
183,430,0.0167787,62750720,52277248
184,430,0.0165518,62750720,52277248
185,436,0.016791,62750720,52277248
186,439,0.016561,62750720,52277248
187,439,0.0166576,62750720,52277248
188,452,0.0166617,62750720,52277248
189,454,0.0167656,62750720,52277248
190,454,0.0165906,62750720,52277248
191,455,0.0167183,62750720,52277248
192,455,0.0166442,62750720,52277248
193,455,0.0167148,62750720,52277248
194,455,0.0166834,62750720,52277248
195,455,0.0166835,62750720,52277248
196,455,0.01656,62750720,52277248
197,455,0.0167565,62750720,52277248
198,457,0.0166103,62750720,52277248
199,462,0.0166604,62750720,52277248
200,464,0.0167439,62750720,52277248
201,464,0.0166192,62750720,52277248
202,465,0.0166448,62750720,52277248
203,465,0.0166461,62750720,52277248
204,474,0.016722,62750720,52277248
205,475,0.0166791,62779392,52305920
